"PROVINCIA","Casos Atentidos","% de feminicidios","Personas informadas","Poblacion Mujer","Población hombre","Zona","# DE CEM","# CEM comisaria","V. Psicológica","V. Física","V. Sexual","De 5-14 años","De 15 a 24 años","De 25 a 49 años","De 49 años a más"
"Abancay",1185,1,9677,"56429",54091,"Urbano",1,0,1215,1220,376,20250,20380,38877,15227
"Acobamba",254,2.9,2384,"19 962",18246,"Rural",1,0,988,898,417,7990,6930,11421,5953
"Acomayo",230,1.3,1541,"11725",11215,"Urbano",1,0,4142,3575,1612,5150,3835,6534,3785
"Aija",96,0.3,1193,"3074",3242,"Rural",1,0,3151,2830,1131,1244,804,1946,1145
"Alto Amazonas",525,0.2,4722,"61005",61720,"Urbano",1,1,1208,1109,742,31899,19615,37330,14456
"Ambo",329,1,3105,"25916",24964,"Rural",1,0,1766,1816,1109,9904,8688,15612,7966
"Andahuaylas",928,1,10049,"73626",68851,"Urbano",1,0,1215,1220,2345,29292,24490,46310,20548
"Angaraes",313,2.9,2495,"25293",23914,"Rural",1,0,988,898,417,11179,9135,14115,7192
"Antabamba",119,1,425,"5473",5837,"Rural",1,0,1215,1220,890,2320,1338,3700,2013
"Arequipa",13096,2.5,44893,"559201",521434,"Urbano",4,9,6005,4593,2345,165597,188564,404172,173946
"Anta",281,1.3,4493,"28495",27711,"Rural",4,0,4142,3575,1612,10375,9681,17784,9490
"Antonio Raymondi",33,0.3,393,"6928",6722,"Rural",1,0,3151,2830,1131,4423,3230,7264,4823
"Ascope",526,0.4,2989,"58771",57015,"Urbano",1,1,2694,2860,1498,3287,1843,3749,2195
"Asunción",179,0.3,915,"3856",3522,"Rural",1,0,3151,2830,1131,19735,17637,37253,22510
"Atalaya",191,1,1269,"24046",25278,"Rural",1,0,702,876,893,1480,1024,2205,1312
"Ayabaca",424,0.5,1768,"58979",60308,"Rural",1,2,3097,2523,1057,14098,8162,14441,4339
"Aymaraes",334,1,3819,"12116",12191,"Rural",1,0,1215,1220,376,30272,17545,33636,17539
